"","dem","temp","rain","distance_water","frostdays","sunhours","tpi","slope","aspect","site","lon","lat"
"1",117,9.89999961853027,636,596.483337402344,5,3,1.875,0.513771712779999,6,1,9.01134187222894,50.0796644726686
"2",122,9.89999961853027,640,1102.28686523438,5,3,3.75,0.53019255399704,7,1,9.03992663852642,50.0693366320519
"3",203,9.60000038146973,674,4414.5205078125,6,3,-0.5,3.08959484100342,1,1,9.04510808546479,49.8909847610416
"4",160,9.80000019073486,658,4970.6552734375,6,3,-16.75,1.67710530757904,1,1,9.05203428296128,49.8981574385147
"5",160,9.80000019073486,658,4970.6552734375,6,3,-16.75,1.67710530757904,1,1,9.0553381997026,49.8935113197532
"6",141,9.89999961853027,646,4580.3076171875,5.819495677948,3,2,0.631195902824402,2,1,9.05574991434126,49.9198971094181
"7",121,9.89999961853027,637,0,5.03221225738525,3,-8.375,0.800141215324402,6,1,9.05590251478697,50.0867838024771
"8",149,9.89999961853027,646,5594.18408203125,6,3,-7.375,0.718724370002747,8,1,9.05658687928861,49.9020410695546
"9",145,10,645,4541.24951171875,5.89791345596313,3,-8.625,1.37654840946198,8,1,9.05912795845028,49.9122222644623
"10",169,9.80000019073486,659,5161.30908203125,6,3,0.5,2.35825848579407,8,1,9.0592783290744,49.9063179397679
"11",114,10,634,1511.96411132812,5,3,-10.875,1.14351868629456,7,1,9.06382071283907,50.0237586911405
"12",145,10,645,4541.24951171875,5.89791345596313,3,-8.625,1.37654840946198,8,1,9.06390314751006,49.9099513088238
"13",145,10,645,4541.24951171875,5.89791345596313,3,-8.625,1.37654840946198,8,1,9.06404841264676,49.911915374637
"14",128,9.89999961853027,638,2780.7626953125,5,3,-9.875,1.70148539543152,7,1,9.0642107539881,50.0633532961462
"15",211,9.60000038146973,676,3755.63891601562,6,3,-1.25,1.530189037323,7,1,9.06914893544628,49.8877374749798
"16",246,9.39999961853027,696,3707.55249023438,6,3,29.75,0.745759725570679,6,1,9.07777521405744,49.889403144247
"17",163,9.89999961853027,651,926.886108398438,5.89372730255127,3,-25.125,0.501730918884277,6,1,9.07847012811837,49.8613007560803
"18",210,9.30000019073486,701,2780.66235351562,6,3,-0.5,2.11856484413147,6,1,9.08044361491577,49.8823212869513
"19",124,10,635,3027.29931640625,5.34995937347412,3,-14.125,1.73255109786987,2,1,9.09399158956854,49.9107006810829
"20",278,9.19999980926514,712,2207.36987304688,6.12951803207397,3,23.375,1.58290374279022,1,1,9.10032029804677,49.8694933775616
"21",124,10,632,926.906188964844,5.13679790496826,3,-13.25,1.70509743690491,5,1,9.1085590630814,49.9892996844163
"22",124,10,632,926.906188964844,5.13679790496826,3,-13.25,1.70509743690491,5,1,9.10909273631948,49.9871458120985
